gene	logFC_24h	logFC_30h	logFC_36h	logFC_42h	logFC_54h	FDR									
SCO3423	0,48	0,65	0,69	0,66	0,59	0,0623									
SCO3424	0,4	0,54	0,73	0,39	0,51	0,0077						2			
SCO3425	0,16	0,28	0,85	0,3	0,24	0,0004									
SCO3426	0,17	0,19	0,92	0,18	0,17	0						type	B	2	
SCO3427	0,09	0,09	1,27	0,06	0,06	0						L33	1		
SCO3428	0,1	0,12	0,65	0,09	0,08	0									
SCO3429	0,2	0,23	1,15	0,2	0,24	0,0008									
SCO3430	0,26	0,15	1,46	0,13	0,17	0									
SCO3431	0,25	0,28	1,11	0,22	0,24	0,0028									
SCO3437	0,67	0,55	1,22	0,42	0,34	0,0744									
SCO3438	0,93	0,43	1,24	0,24	0,17	0,016									
SCO3442	0,9	0,77	0,97	0,53	0,4	0,3127									
SCO3444	0,83	0,84	0,99	0,57	0,46	0,4636									
SCO3445	0,46	0,75	0,79	0,25	0,2	0,0036									
SCO3447	0,7	0,79	0,77	0,33	0,25	0,0192									
SCO3448	0,93	0,82	0,73	0,38	0,28	0,0575									
SCO3449	0,87	0,92	0,97	0,4	0,31	0,0849									
SCO3450	0,61	0,71	0,79	0,29	0,26	0,0137									
SCO3452	0,85	1,15	0,67	0,55	0,47	0,2497									
SCO3455	0,94	0,85	0,81	0,49	0,47	0,3086									
SCO3456	0,69	0,76	0,92	0,46	0,37	0,1223									
SCO3460	1,04	0,94	0,96	0,52	0,44	0,4867									
SCO3461	0,69	0,76	0,87	0,74	0,37	0,1118									
SCO3462	0,86	0,98	0,74	0,52	0,42	0,274									
SCO3463	1,08	1,13	0,77	0,45	0,36	0,2365									
SCO3465	1,03	0,99	0,63	0,5	0,41	0,2401									
SCO3471	0,85	1,5	1,69	0,61	1,11	0,0038									
SCO3472	1,39	1,83	3,29	1,3	3,82	0									
SCO3473	0,36	0,08	0,2	0,08	0,12	0									
SCO3474	0,18	0,03	0,07	0,02	0,06	0									
SCO3475	0,24	0,05	0,08	0,04	0,05	0									
SCO3476	0,26	0,11	0,16	0,08	0,12	0									
SCO3477	0,42	0,22	0,34	0,18	0,22	0									
SCO3478	0,56	0,88	1	0,44	1,12	0,3147									
SCO3481	0,69	1,17	0,8	0,42	1,13	0,3472									
SCO3482	0,55	1,01	0,66	0,4	0,98	0,0839									
SCO3483	0,5	1,07	0,89	0,45	1,15	0,3067									
SCO3484	0,47	1,17	0,81	0,41	1,11	0,1508									
SCO3486	0,44	0,75	0,93	0,45	0,72	0,1129									
SCO3487	0,63	1,29	0,9	0,48	1,17	0,3857									
SCO3529	1,46	0,89	2,22	1,22	1,39	0,1563									
SCO3537	0,62	0,61	0,5	0,31	0,37	0,0026									
SCO3538	0,55	0,6	0,42	0,31	0,37	0,0006									
SCO3548	0,3	0,95	1,26	0,87	0,76	0,4561									
SCO3549	0,57	1,12	0,73	0,48	0,73	0,2184									
SCO3561	1,26	1,96	1,42	3,05	3,62	0									
SCO3571	0,38	0,67	0,6	0,57	0,59	0,0189									
SCO3575	0,47	1,01	0,88	0,78	0,87	0,7232									
SCO3576	0,32	0,61	0,7	0,66	0,67	0,0304									
SCO3579	0,41	0,73	1,05	0,53	0,87	0,164									
SCO3584	0,44	0,53	1,15	0,88	0,97	0,3722									
SCO3591	0,35	0,8	1,05	1,35	1,17	0,5673									
SCO3600	2,07	1,08	0,81	0,97	0,87	1,0349									
SCO3604	0,5	1	1,05	1,01	0,92	1,1982									
SCO3607	0,99	1,69	0,94	1,45	2,23	0,1741									
SCO3608	1,01	1,09	1,28	1,51	2,05	0,265									
SCO3657	0,79	0,98	1,29	1,95	2,84	0,0451									
SCO3662	0,49	0,43	0,54	0,42	0,42	0,0044									
SCO3663	0,21	0,34	1,01	0,82	1,48	0,0143									
SCO3664	0,47	0,68	0,65	0,59	0,51	0,0304						HspR			
SCO3668	0,52	0,73	0,41	0,75	0,73	0,0609									
SCO3671	0,64	0,8	0,36	0,9	1,08	0,124									
SCO3701	0,85	0,86	2,86	0,68	0,89	0,3915									
SCO3712	1,15	2,13	0,91	1,69	2,06	0,005									
SCO3713	0,42	0,82	0,84	0,73	0,71	0,335									
SCO3714	0,53	0,83	0,71	0,41	0,46	0,0424									
SCO3731	0,74	1,43	0,82	0,49	0,76	0,3719									
SCO3732	1,64	2,43	0,91	1,04	1,2	0,05									
SCO3748	0,67	1,2	0,59	0,49	0,87	0,123									
SCO3762	0,5	0,4	0,63	1,35	2,92	0,4628									
SCO3793	0,43	1,17	0,51	0,69	0,67	0,1327									
SCO3800	1,48	2,22	0,87	1,98	2,08	0,0012									
SCO3802	0,4	0,98	0,84	1,45	1,4	0,5939									
SCO3805	1,44	0,99	1,19	1,82	2,06	0,0999									
SCO3814	0,5	0,58	0,67	0,41	0,44	0,0083									
SCO3852	0,54	0,54	0,59	0,48	0,53	0,0107						2,5,1,‐)			
SCO3858	0,57	0,68	0,7	0,46	0,47	0,0274									
SCO3862	1,24	2,8	0,84	2,18	2,45	0,0004									
SCO3863	2,18	7,83	1,03	6,09	6,53	0									
